iter	Passed	Remaining
0	0	92
1	1	129
2	1	126
3	2	125
4	2	115
5	3	105
6	3	98
7	3	92
8	4	86
9	4	83
10	4	79
11	4	76
12	5	73
13	5	74
14	5	72
15	6	70
16	6	69
17	6	67
18	6	65
19	7	64
20	7	63
21	7	62
22	7	61
23	8	60
24	9	65
25	20	134
26	21	135
27	21	131
28	21	127
29	22	125
30	22	122
31	22	119
32	23	116
33	23	114
34	23	112
35	24	109
36	24	107
37	24	104
38	24	102
39	25	100
40	25	98
41	25	96
42	25	93
43	26	93
44	26	91
45	26	90
46	27	88
47	27	86
48	27	85
49	28	84
50	29	84
51	38	110
52	39	109
53	40	108
54	40	106
55	40	104
56	40	102
57	41	100
58	41	99
59	41	97
60	42	95
61	42	94
62	42	92
63	42	90
64	43	89
65	43	88
66	43	86
67	44	85
68	44	84
69	44	83
70	45	82
71	45	80
72	45	79
73	68	116
74	69	115
75	69	113
76	69	111
77	69	109
78	70	107
79	77	116
80	78	114
81	78	113
82	79	111
83	79	109
84	79	107
85	80	106
86	80	104
87	80	102
88	81	101
89	81	99
90	81	98
91	82	96
92	82	94
93	83	93
94	83	92
95	83	90
96	84	89
97	84	88
98	85	86
99	85	85
100	85	84
101	85	82
102	86	81
103	86	79
104	86	78
105	93	82
106	93	81
107	94	80
108	94	79
109	95	77
110	95	76
111	95	75
112	95	73
113	96	72
114	96	71
115	96	70
116	98	70
117	98	68
118	99	67
119	100	66
120	100	65
121	100	64
122	101	63
123	101	62
124	101	60
125	101	59
126	102	58
127	102	57
128	102	56
129	103	55
130	104	54
131	104	54
132	105	53
133	106	52
134	107	51
135	109	51
136	111	51
137	111	50
138	112	49
139	112	48
140	112	47
141	113	46
142	113	45
143	113	44
144	114	43
145	124	46
146	124	45
147	129	45
148	129	44
149	130	43
150	130	42
151	130	41
152	131	40
153	131	39
154	131	38
155	132	37
156	132	36
157	132	35
158	132	34
159	133	33
160	133	32
161	134	31
162	134	30
163	134	29
164	135	28
165	135	27
166	136	26
167	136	25
168	137	25
169	137	24
170	144	24
171	145	23
172	145	22
173	146	21
174	147	21
175	147	20
176	148	19
177	148	18
178	148	17
179	148	16
180	149	15
181	149	14
182	149	13
183	150	13
184	150	12
185	150	11
186	150	10
187	151	9
188	151	8
189	151	7
190	152	7
191	152	6
192	154	5
193	154	4
194	155	3
195	155	3
196	156	2
197	156	1
198	157	0
199	157	0
